Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,1,NaiveBayes,No,Yes,0.7243,0.6490,0.9148,0.5513,0.1653,10
ZooKeeper,2,NaiveBayes,No,Yes,0.7492,0.7500,0.6271,0.4172,0.2000,10
ZooKeeper,3,NaiveBayes,No,Yes,0.8260,0.7000,0.8828,0.6151,0.1690,10
ZooKeeper,5,NaiveBayes,No,Yes,0.7174,0.6426,0.8615,0.4911,0.1702,10
ZooKeeper,7,NaiveBayes,No,Yes,0.8366,0.5735,0.7160,0.2860,0.1265,10
ZooKeeper,8,NaiveBayes,No,Yes,0.7266,0.6537,0.7937,0.5552,0.2390,10
ZooKeeper,9,NaiveBayes,No,Yes,0.7186,0.6417,0.8743,0.5242,0.2250,10
ZooKeeper,10,NaiveBayes,No,Yes,0.6956,0.8056,0.9483,0.6925,0.2694,10
ZooKeeper,11,NaiveBayes,No,Yes,0.6106,0.5353,0.6758,0.1195,0.1765,10
ZooKeeper,12,NaiveBayes,No,Yes,0.8202,0.6833,0.8462,0.5902,0.1500,10
ZooKeeper,14,NaiveBayes,No,Yes,1.0000,1.0000,1.0000,1.0000,0.5333,10
ZooKeeper,15,NaiveBayes,No,Yes,0.9205,0.9667,0.8167,0.6905,0.2167,10
ZooKeeper,16,NaiveBayes,No,Yes,0.8159,0.4792,0.5546,-0.0232,0.1500,10
ZooKeeper,17,NaiveBayes,No,Yes,0.8144,0.8750,0.9548,0.7371,0.2500,10
ZooKeeper,18,NaiveBayes,No,Yes,0.8258,0.7917,0.8593,0.5658,0.2417,10
ZooKeeper,19,NaiveBayes,No,Yes,0.7512,0.7625,0.6797,0.2685,0.2250,10
ZooKeeper,21,NaiveBayes,No,Yes,0.8370,0.5397,0.7400,0.3467,0.1310,10
ZooKeeper,1,NaiveBayes,Yes,No,0.7597,0.6714,0.9106,0.5926,0.1449,10
ZooKeeper,2,NaiveBayes,Yes,No,0.7600,0.4000,0.5531,0.2166,0.1375,10
ZooKeeper,3,NaiveBayes,Yes,No,0.8405,0.5500,0.8881,0.5073,0.1524,10
ZooKeeper,4,NaiveBayes,Yes,No,0.8816,0.9313,0.1250,-0.0845,0.1438,10
ZooKeeper,5,NaiveBayes,Yes,No,0.7889,0.5872,0.8493,0.5110,0.1468,10
ZooKeeper,7,NaiveBayes,Yes,No,0.8601,0.5794,0.6749,0.3214,0.0853,10
ZooKeeper,8,NaiveBayes,Yes,No,0.7411,0.5854,0.8158,0.5204,0.1951,10
ZooKeeper,9,NaiveBayes,Yes,No,0.7791,0.6583,0.9219,0.5790,0.2333,10
ZooKeeper,10,NaiveBayes,Yes,No,0.6397,0.7194,0.9422,0.6094,0.2750,10
ZooKeeper,11,NaiveBayes,Yes,No,0.6178,0.6235,0.6513,0.1601,0.1765,10
ZooKeeper,12,NaiveBayes,Yes,No,0.8129,0.5867,0.8373,0.5104,0.1400,10
ZooKeeper,14,NaiveBayes,Yes,No,1.0000,1.0000,1.0000,1.0000,0.5333,10
ZooKeeper,15,NaiveBayes,Yes,No,0.8180,0.7083,0.7194,0.0613,0.1667,10
ZooKeeper,16,NaiveBayes,Yes,No,0.8073,0.8750,0.5592,-0.1437,0.1250,10
ZooKeeper,17,NaiveBayes,Yes,No,0.8997,0.8250,0.9286,0.7765,0.2063,10
ZooKeeper,18,NaiveBayes,Yes,No,0.7792,0.8250,0.8417,0.5194,0.2333,10
ZooKeeper,19,NaiveBayes,Yes,No,0.7966,0.8000,0.6125,0.3705,0.2250,10
ZooKeeper,21,NaiveBayes,Yes,No,0.9095,0.5362,0.7255,0.4104,0.1224,10
ZooKeeper,1,NaiveBayes,Yes,Yes,0.7570,0.7184,0.9114,0.6211,0.1469,10
ZooKeeper,2,NaiveBayes,Yes,Yes,0.7650,0.4125,0.5969,0.2287,0.1375,10
ZooKeeper,3,NaiveBayes,Yes,Yes,0.8466,0.6262,0.8972,0.5728,0.1571,10
ZooKeeper,5,NaiveBayes,Yes,Yes,0.7888,0.6128,0.8493,0.5302,0.1489,10
ZooKeeper,7,NaiveBayes,Yes,Yes,0.8607,0.5676,0.6961,0.3149,0.0912,10
ZooKeeper,8,NaiveBayes,Yes,Yes,0.7135,0.6293,0.8202,0.5292,0.2073,10
ZooKeeper,9,NaiveBayes,Yes,Yes,0.7238,0.7167,0.9091,0.5732,0.2333,10
