Dataset,Train_Through_Release,Test_Release,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Train_Instances,Test_Instances
ZooKeeper,15,16,IBk,No,No,0.9091,0.8333,0.7167,0.3741,0.2083,5042,29
ZooKeeper,16,17,IBk,No,No,0.3889,0.8750,0.4975,-0.0041,0.2500,5438,41
ZooKeeper,17,18,IBk,No,No,0.6875,0.9167,0.6806,0.3824,0.2500,5849,21
ZooKeeper,18,19,IBk,No,No,0.8000,1.0000,0.7500,0.5714,0.2500,6263,12
ZooKeeper,19,20,IBk,No,No,1.0000,0.7500,NaN,0.0000,0.2500,6677,8
ZooKeeper,20,21,IBk,No,No,0.6731,0.6034,0.5780,0.1519,0.1379,7091,96
ZooKeeper,1,2,IBk,No,Yes,0.5714,1.0000,0.5000,0.0000,0.1250,258,14
ZooKeeper,2,3,IBk,No,Yes,0.4500,0.8571,0.5737,0.1287,0.1905,494,104
ZooKeeper,3,4,IBk,No,Yes,0.9375,0.9375,0.7188,0.4375,0.1875,768,18
ZooKeeper,4,5,IBk,No,Yes,0.6557,0.8511,0.7836,0.5380,0.2553,1048,121
ZooKeeper,5,6,IBk,No,Yes,1.0000,0.8571,NaN,0.0000,0.2381,1371,21
ZooKeeper,6,7,IBk,No,Yes,0.6579,0.7353,0.4614,-0.0827,0.1471,1688,50
ZooKeeper,7,8,IBk,No,Yes,0.5385,0.8537,0.7583,0.4462,0.2439,2018,130
ZooKeeper,8,9,IBk,No,Yes,0.4000,0.5000,0.5543,0.1026,0.1667,2402,35
ZooKeeper,9,10,IBk,No,Yes,0.3250,0.7222,0.7144,0.2874,0.2778,2787,220
ZooKeeper,10,11,IBk,No,Yes,0.7059,0.7059,0.6744,0.3487,0.1765,3385,31
ZooKeeper,11,12,IBk,No,Yes,0.7414,0.7167,0.7690,0.5407,0.1500,3981,144
ZooKeeper,13,14,IBk,No,Yes,0.2500,1.0000,0.5000,0.0000,0.3333,4877,12
ZooKeeper,14,15,IBk,No,Yes,0.8182,0.7500,0.5417,0.0741,0.2500,5318,15
ZooKeeper,15,16,IBk,No,Yes,0.9091,0.8333,0.7167,0.3741,0.2083,5767,29
ZooKeeper,16,17,IBk,No,Yes,0.3784,0.8750,0.4775,-0.0364,0.2500,6215,41
ZooKeeper,17,18,IBk,No,Yes,0.6875,0.9167,0.6806,0.3824,0.2500,6676,21
ZooKeeper,18,19,IBk,No,Yes,0.8000,1.0000,0.7500,0.5714,0.2500,7139,12
